season_year,team_id,team_code,team_name_en,team_name_es,country_en,country_es,player_id,player_name,player_age,player_birth_date,player_country_code,player_birth_country_code,player_gender,player_field_position,player_detailed_field_position,club_id,club_shirt_name,club_jersey_number,key__minutes_played_official,key__matches_appearance,key__goals,key__assists,key__distance_covered,key__top_speed
1999,52748,MAR,Marseille,Marseille,France,Francia,41858,Stéphane Dalmat,46.0,1979-02-16,FRA,,MALE,MIDFIELDER,,,DALMAT,10,915.0,11.0,,,,
1999,52749,FEY,Feyenoord,Feyenoord,Netherlands,Holanda,19898,Jon Dahl Tomasson,49.0,1976-08-29,DEN,DEN,MALE,,,,,11,912.0,11.0,4.0,,,
1999,52268,VAL,Valencia,Valencia,Spain,España,26584,Miguel Ángel Angulo,48.0,1977-06-23,ESP,,MALE,,,,,10,911.0,16.0,3.0,,,
1999,52748,MAR,Marseille,Marseille,France,Francia,46359,Frédéric Brando,52.0,1973-11-08,FRA,,MALE,MIDFIELDER,,,Brando,,911.0,11.0,,,,
1999,50037,BAY,Bayern München,Bayern München,Germany,Alemania,13850,Markus Babbel,53.0,1972-09-08,GER,,MALE,,,,,,910.0,11.0,,,,
1999,50037,BAY,Bayern München,Bayern München,Germany,Alemania,14956,Giovane Elber,53.0,1972-07-23,BRA,BRA,MALE,FORWARD,,,Elber,,901.0,12.0,3.0,,,
1999,52723,DKY,Dynamo Kyiv,Dynamo Kyiv,Ukraine,Ucrania,23793,Kakha Kaladze,47.0,1978-02-27,GEO,GEO,MALE,DEFENDER,,,Kaladze,4,900.0,10.0,1.0,,,
1999,52806,ROS,Rosenborg,Rosenborg,Norway,Noruega,6882,Bjørn Otto Bragstad,54.0,1971-01-05,NOR,,MALE,DEFENDER,,73503,Bragstad,,900.0,10.0,,,,
1999,52748,MAR,Marseille,Marseille,France,Francia,22151,Stéphane Porato,52.0,1973-09-19,FRA,,MALE,GOALKEEPER,,,Porato,,900.0,10.0,,,,
1999,5451,HER,Hertha,Hertha,Germany,Alemania,15457,Gábor Király,49.0,1976-04-01,HUN,,MALE,GOALKEEPER,GOALKEEPER,52959,Király,,900.0,10.0,,,,
1999,52973,LAZ,Lazio,Lazio,Italy,Italia,14128,Luca Marchegiani,59.0,1966-02-22,ITA,,MALE,GOALKEEPER,,,Marchegiani,,900.0,10.0,,,,
1999,50064,POR,Porto,Porto,Portugal,Portugal,51643,Deco,48.0,1977-08-27,POR,BRA,MALE,MIDFIELDER,UNKNOWN,,Deco,20,899.0,11.0,3.0,,,
1999,5451,HER,Hertha,Hertha,Germany,Alemania,45648,Ali Daei,56.0,1969-03-21,IRN,,MALE,FORWARD,,,Daei,,888.0,11.0,3.0,,,
1999,50051,RMA,Real Madrid,Real Madrid,Spain,España,14819,Steve McManaman,53.0,1972-02-11,ENG,ENG,MALE,MIDFIELDER,,,McManaman,,886.0,13.0,1.0,,,
1999,50033,SPA,Sparta Praha,Sparta Praha,Czechia,Chequia,27900,Miroslav Baranek,52.0,1973-11-10,CZE,,MALE,,,,,,883.0,10.0,1.0,,,
1999,52973,LAZ,Lazio,Lazio,Italy,Italia,,,,,,,,,,,,,882.0,11.0,2.0,,,
1999,52817,FIO,Fiorentina,Fiorentina,Italy,Italia,33879,Gabriel Batistuta,56.0,1969-02-01,ARG,,MALE,FORWARD,,,Batistuta,,877.0,10.0,6.0,,,
1999,52749,FEY,Feyenoord,Feyenoord,Netherlands,Holanda,8483,Ulrich van Gobbel,54.0,1971-01-16,NED,,MALE,,,,,,877.0,10.0,,,,
1999,52749,FEY,Feyenoord,Feyenoord,Netherlands,Holanda,20515,Jean Paul van Gastel,53.0,1972-04-28,NED,,MALE,,,,,,877.0,10.0,,,,
1999,50037,BAY,Bayern München,Bayern München,Germany,Alemania,30248,Jens Jeremies,51.0,1974-03-05,GER,,MALE,MIDFIELDER,,,Jeremies,,869.0,10.0,,,,
1999,52973,LAZ,Lazio,Lazio,Italy,Italia,18811,Pavel Nedvěd,53.0,1972-08-30,CZE,CZE,MALE,,,,,11,862.0,12.0,1.0,,,
1999,52973,LAZ,Lazio,Lazio,Italy,Italia,12126,Paolo Negro,53.0,1972-04-16,ITA,,MALE,DEFENDER,,84575,Negro,,860.0,10.0,1.0,,,
1999,50037,BAY,Bayern München,Bayern München,Germany,Alemania,3705,Bixente Lizarazu,55.0,1969-12-09,FRA,FRA,MALE,DEFENDER,,,Lizarazu,,856.0,10.0,,,,
1999,50080,BAR,Barcelona,Barcelona,Spain,España,6191,Michael Reiziger,52.0,1973-05-03,NED,NED,MALE,,,69600,,3,853.0,11.0,,,,
1999,5451,HER,Hertha,Hertha,Germany,Alemania,4942,Michael Preetz,58.0,1967-07-17,GER,,MALE,,,,,,851.0,11.0,1.0,,,
1999,50127,BOR,Bordeaux,Bordeaux,France,Francia,40922,Kodjo Afanou,48.0,1977-11-21,FRA,,MALE,DEFENDER,,,Afanou,,850.0,10.0,,,,
1999,50037,BAY,Bayern München,Bayern München,Germany,Alemania,27865,Thorsten Fink,58.0,1967-10-29,GER,,MALE,,,,,,844.0,11.0,1.0,,,
1999,52748,MAR,Marseille,Marseille,France,Francia,27875,Robert Pirès,52.0,1973-10-29,FRA,FRA,MALE,MIDFIELDER,,,Pirès,7,842.0,11.0,2.0,,,
1999,50051,RMA,Real Madrid,Real Madrid,Spain,España,23354,Aitor Karanka,52.0,1973-09-18,ESP,ESP,MALE,,,,,,834.0,11.0,,,,
1999,50127,BOR,Bordeaux,Bordeaux,France,Francia,19493,Lilian Laslandes,54.0,1971-09-04,FRA,,MALE,FORWARD,,,Laslandes,7,833.0,10.0,1.0,,,
1999,5451,HER,Hertha,Hertha,Germany,Alemania,51044,Andreas Schmidt,52.0,1973-09-14,GER,,MALE,MIDFIELDER,,5451,Schmidt,19,829.0,10.0,,,,
1999,50064,POR,Porto,Porto,Portugal,Portugal,2883,Aloisio,62.0,1963-08-16,BRA,,MALE,DEFENDER,UNKNOWN,,Aloisio,,828.0,12.0,,,,
1999,52973,LAZ,Lazio,Lazio,Italy,Italia,40990,Juan Verón,50.0,1975-03-09,ARG,ARG,MALE,MIDFIELDER,UNKNOWN,,Verón,,822.0,11.0,2.0,,,
1999,5451,HER,Hertha,Hertha,Germany,Alemania,6212,Dick van Burik,51.0,1973-11-29,NED,,MALE,DEFENDER,UNKNOWN,,Van Burik,4,822.0,10.0,,,,
1999,5451,HER,Hertha,Hertha,Germany,Alemania,13736,Kai Michalke,49.0,1976-04-05,GER,,MALE,MIDFIELDER,,86797,Michalke,,817.0,10.0,1.0,,,
1999,50127,BOR,Bordeaux,Bordeaux,France,Francia,10628,François Grenet,50.0,1975-03-08,FRA,,MALE,MIDFIELDER,,,Grenet,,817.0,10.0,,,,
1999,52749,FEY,Feyenoord,Feyenoord,Netherlands,Holanda,40690,Julio Cruz,51.0,1974-10-10,ARG,,MALE,FORWARD,,,Cruz,74,810.0,10.0,3.0,,,
