season_year,team_id,team_code,team_name_en,team_name_es,country_en,country_es,player_id,player_name,player_age,player_birth_date,player_country_code,player_birth_country_code,player_gender,player_field_position,player_detailed_field_position,club_id,club_shirt_name,club_jersey_number,goals__goals,goals__goals_scored_with_right,goals__goals_scored_with_left,goals__goals_scored_head,goals__goals_scored_other,goals__goals_scored_inside_penalty_area,goals__goals_scored_outside_penalty_area,goals__penalty_scored,goals__matches_appearance
1992,50058,MIL,Milan,Milan,Italy,Italia,434,Mauro Tassotti,65.0,1960-01-19,ITA,,MALE,,,,,,1.0,,,,,,,,9.0
1992,50043,BRU,Club Brugge,Club Brugge,Belgium,Bélgica,14211,Tomasz Dziubinski,57.0,1968-07-08,POL,,MALE,,,,Dziubinski,,1.0,,,,,,,,9.0
1992,54266,CSM,CSKA Moskva,CSKA Moskva,Russia,Rusia,19268,Denis Mashkarin,52.0,1973-05-17,RUS,,MALE,DEFENDER,,64499,Mashkarin,,1.0,,,,,,,,8.0
1992,50121,RAN,Rangers,Rangers,Scotland,Escocia,1868,Ian Ferguson,58.0,1967-03-15,SCO,,MALE,MIDFIELDER,,,Ferguson,,1.0,,,,,,,,7.0
1992,50043,BRU,Club Brugge,Club Brugge,Belgium,Bélgica,8162,Marc Schaessens,57.0,1968-09-14,BEL,,MALE,MIDFIELDER,,,Schaessens,,1.0,,,,,,,,6.0
1992,50043,BRU,Club Brugge,Club Brugge,Belgium,Bélgica,677,Pascal Plovie,60.0,1965-05-07,BEL,,MALE,,,,,,1.0,,,,,,,,6.0
1992,50058,MIL,Milan,Milan,Italy,Italia,2992,Zvonimir Boban,57.0,1968-10-08,CRO,CRO,MALE,MIDFIELDER,UNKNOWN,,Boban,,1.0,,,,,,,,6.0
1992,50043,BRU,Club Brugge,Club Brugge,Belgium,Bélgica,11952,Daniel Amokachi,52.0,1972-12-30,NGA,,MALE,,,,Amokachi,,1.0,,,,,,,,6.0
1992,53361,LEE,Leeds,Leeds,England,Inglaterra,9841,Lee Chapman,65.0,1959-12-05,ENG,,MALE,,,,Chapman,,1.0,,,,,,,,5.0
1992,53361,LEE,Leeds,Leeds,England,Inglaterra,8861,Gary Speed,56.0,1969-09-08,WAL,,MALE,MIDFIELDER,,68215,Speed,6,1.0,,,,,,,,5.0
1992,50058,MIL,Milan,Milan,Italy,Italia,13421,Stefano Eranio,58.0,1966-12-29,ITA,,MALE,MIDFIELDER,,,Eranio,,1.0,,,,,,,,5.0
1992,50043,BRU,Club Brugge,Club Brugge,Belgium,Bélgica,11953,Foeke Booy,63.0,1962-04-25,NED,,MALE,,,,Booy,,1.0,,,,,,,,5.0
1992,52824,SIO,Sion,Sion,Switzerland,Suiza,9172,Dominique Herr,60.0,1965-10-25,SUI,,MALE,,,,Herr,,1.0,,,,,,,,4.0
1992,53361,LEE,Leeds,Leeds,England,Inglaterra,,,,,,,,,,,,,1.0,,,,,,,,4.0
1992,50066,IFK,Göteborg,Göteborg,Sweden,Suecia,6650,Mikael Martinsson,59.0,1966-03-29,SWE,,MALE,MIDFIELDER,UNKNOWN,,Martinsson,,1.0,,,,,,,,4.0
1992,50110,AUS,Austria Wien,Austria Wien,Austria,Austria,5389,Thomas Flögel,54.0,1971-06-07,AUT,,MALE,FORWARD,UNKNOWN,2600246,Flögel,7,1.0,,,,,,,,4.0
1992,52824,SIO,Sion,Sion,Switzerland,Suiza,4630,David Orlando,54.0,1971-10-13,SUI,,MALE,,,,Orlando,,1.0,,,,,,,,4.0
